Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
BHD,FBgn0261111,HuDis670,,,,FBgn0261111,BHD
BicC,FBgn0000182,HuDis670,,,,FBgn0000182,BicC
bon,FBgn0023097,HuDis670,,,,FBgn0023097,bon
brm,FBgn0000212,HuDis670,,,,FBgn0000212,brm
bru,FBgn0261787,HuDis670,,,,FBgn0261787,brun
BRWD3,FBgn0011785,HuDis670,,,,FBgn0011785,BRWD3
bsf,FBgn0032679,HuDis670,,,,FBgn0284256,bsf
bsk,FBgn0000229,HuDis670,,,,FBgn0000229,bsk
Ca-P60A,FBgn0263006,HuDis670,,,,FBgn0263006,SERCA
Cad99C,FBgn0039709,HuDis670,,,,FBgn0039709,Cad99C
calypso,FBgn0262166,HuDis670,,,,FBgn0262166,calypso
CASK,FBgn0013759,HuDis670,,,,FBgn0013759,CASK
Cat,FBgn0000261,HuDis670,,,,FBgn0000261,Cat
cathD,FBgn0029093,HuDis670,,,,FBgn0029093,cathD
Cbs,FBgn0031148,HuDis670,,,,FBgn0031148,Cbs
Cchl,FBgn0038925,HuDis670,,,,FBgn0038925,Cchl
Ccm3,FBgn0038331,HuDis670,,,,FBgn0038331,Ccm3
Cct5,FBgn0010621,HuDis670,,,,FBgn0010621,CCT5
Cdc6,FBgn0035918,HuDis670,,,,FBgn0035918,Cdc6
CG10092,FBgn0037526,HuDis670,,,,FBgn0037526,ArgRS-m
CG10166,FBgn0032799,HuDis670,,,,FBgn0032799,Dpm1
CG10253,FBgn0033983,HuDis670,,,,FBgn0033983,ADPS
CG10399,FBgn0031877,HuDis670,,,,FBgn0031877,Hmgcl
CG10420,FBgn0039296,HuDis670,,,,FBgn0039296,Sil1
CG10425,FBgn0039304,HuDis670,,,,FBgn0039304,CG10425
CG10470,FBgn0032746,HuDis670,,,,FBgn0032746,CG10470
CG10474,FBgn0034427,HuDis670,,,,FBgn0034427,CG10474
CG10585,FBgn0037044,HuDis670,,,,FBgn0037044,Pdss2
